_id,Lokasyon_Kategorisi,Lokasyon_Sayisi,Abone_Sayisi,Oturum_Sayisi,Cihaz_Sayisi,Data-Download(GB),Data-Upload(GB),Data-Yerli(GB),Data-Yabanci(GB),Sure(Saat)
1,IETT,1283,156336,508420,161834,39451.32,5157.46,44303,305,33589
2,AVR MEYDAN,38,78842,297432,83867,34598.88,4606.1,38620,585,25404
3,Diger,186,53392,166871,54851,28675.99,3288.88,31792,173,17515
4,PARK,27,42082,154216,44441,22736.43,3198.68,25769,166,14133
5,HIZMET BINASI,60,14195,101842,15189,21688.39,2505.1,24165,29,13985
6,SPOR TESISI,36,19089,90509,19554,17753.45,2039.53,19476,317,10209
7,ISKI,33,5927,73426,6463,16921.61,1846.63,18760,8,11212
8,METROISTANBUL,20,11410,109017,12004,16021.78,2063.57,18079,7,10958
9,METROBUS,507,77533,245492,80646,15155.16,1872.4,16952,76,14653
10,HASTANE,9,9997,54885,10317,14834,2087.15,16891,30,8847
11,AND MEYDAN,21,34204,106249,35630,13166.71,1645.04,14732,80,9773
12,METRO,25,25763,105872,27328,12370.49,1481.66,13671,181,9311
13,ITFAIYE,52,8061,55851,8535,11037.2,1221.07,12232,27,7072
14,KULTUR MERKEZI,22,13252,54837,13725,10923.03,1300.29,12210,13,6468
15,IETT 3G,954,64790,126834,65929,10508.59,1380.93,11850,39,11177
16,CADDE,15,26927,89435,28953,9300.55,1262.7,9934,629,7754
17,KUTUPHANE,14,11183,46240,11787,9415.59,982.29,10373,25,5215
18,MEZARLIKLAR,12,4667,39987,4771,8396.1,1046.05,9440,2,5468
19,YOL BAKIM,10,3148,34699,3267,7492.54,823.22,8315,0,4462
20,HAL,4,2437,40223,3212,6589.47,789.98,7376,3,4273
21,KORU,6,5299,24829,5468,6006.62,862.48,6859,10,3166
22,SOSYAL TESIS,21,9789,31084,10191,5443.08,684.18,6108,19,3349
23,PARK BAHCELER,22,2702,18046,2744,4940.68,594.29,5529,6,2200
24,IGDAS,1,1774,18920,1938,4019.72,466.65,4486,0,2942
25,DURAK,16,20957,39593,21270,3505.01,398.85,3892,12,2833
26,ZABITA,7,3543,16274,3635,3316.32,391.24,3686,22,2024
27,ISYON,1,803,13574,805,3206.7,349.99,3555,2,1957
28,BELEDIYE,1,577,7615,643,3144.81,246,3390,1,1393
29,KAMP,3,649,9437,664,2543.63,397.56,2941,0,1410
30,IETT GARAJ,15,1911,12729,1947,2637.02,292.69,2926,4,1574
31,ISADEM,12,2327,12803,2409,2409.13,257.3,2665,1,1479
32,IHE,1,487,12107,542,2285.32,308.24,2593,0,2079
33,TIYATRO,7,2796,9829,2820,2170.51,267.18,2419,18,1095
34,OTEL,3,1427,8376,1467,1845.9,209.54,2039,17,965
35,TERMINAL,1,1914,8137,1939,1644.7,164.57,1803,6,949
36,TURISTIK,9,2383,7456,2426,1345.52,175.36,1483,38,755
37,ISBAK,6,907,4773,932,1220.89,146.26,1366,1,699
38,KUDEB,1,297,5653,315,1176.33,165.55,1294,48,658
39,IETT GM,5,835,4959,849,1140.82,122.01,1260,3,643
40,ARGE,9,1791,5509,1836,899.79,114.97,1014,0,574
41,KONGRE MERKEZI,1,420,2649,429,871.16,83.59,954,1,314
42,PDM,8,951,4049,991,824.8,120,943,1,544
43,TRAFIK,4,555,3671,589,813.09,85.65,899,,448
44,IETT PERON,7,3774,7525,3793,773.64,94.86,862,7,560
45,ISTTELKOM,3,670,3614,696,774.4,76.2,850,0,396
46,HAVAIST,85,7676,9698,7791,733.42,105.38,743,96,679
47,ENGELLILER,2,321,1812,335,558.81,54.44,612,1,249
48,ISMEK,4,866,2590,887,435.14,68.42,503,1,284
49,UNIVERSITE,4,1519,3474,1549,425.32,51.29,475,1,297
50,AKOM,1,510,1752,525,402.56,43.88,446,,300
51,BELNET,38,2766,3616,2758,353.12,41.15,393,2,288
52,FUAR,1,428,1544,427,292.82,36.85,329,0,192
53,KONSER SALONU,2,350,1230,352,288.84,37.06,323,3,146
54,TANITIM OFISI,1,139,898,143,217.75,30.15,247,1,110
55,ISKELE,1,289,844,284,172.79,26.64,199,1,110
56,MEDYAAS,1,54,172,56,20.24,ub.66,23,0,15
57,HAVATAS,9,324,337,325,15.78,Mar.65,15,4,18
58,ISTGUVEN,1,32,81,34,13.51,ub.34,16,,10
